RHO2,1,voided,no-show,2024-10-09,13:14:44,1,ike,2,1,,,13:11:02,,,13:11:02,dave, dave[held], dave[calling], [forwarded to 1], ike[calling], ike[held], ike[calling], ike[calling], ike[calling]
PC,1,voided,no-show,2024-10-09,13:18:36,2,dave,,,,2024-10-09,13:26:39,,,,dave
RHO,1,finished,,2024-10-09,13:18:48,2,dave,,,,2024-10-09,13:27:56,,2024-10-09,13:28:02,dave
ON,1,voided,no-show,2024-10-09,13:22:24,,,,,,,,,,,
RC2,1,voided,no-show,2024-10-09,13:24:02,,,,,,,,,,,
PC,2,voided,no-show,2024-10-09,13:24:11,2,dave,,,,2024-10-09,13:28:05,,,,dave
RVCC,1,voided,no-show,2024-10-09,13:24:58,,,,,,,,,,,
RC,1,voided,no-show,2024-10-09,13:25:04,,,,,,,,,,,
ON,2,voided,no-show,2024-10-09,13:25:15,,,,,,,,,,,
ON,3,voided,no-show,2024-10-09,13:32:34,,,,,,,,,,,
RVCC,2,voided,no-show,2024-10-09,13:32:37,,,,,,,,,,,
RAMT2,1,voided,no-show,2024-10-09,13:32:43,,,,,,,,,,,
ON,4,voided,no-show,2024-10-09,14:07:55,,,,,,,,,,,
